cluster_id,label,theme_type,need_category,summary,customer_need,coherence,evidence_strength,cross_game_relevance,actionable,evidence_review_indices,caveat
20,Generic Best-Game Praise,non_actionable,Overall Satisfaction,"Reviews across several games use broad superlatives such as “best game ever” or “one of the greatest,” without identifying specific experience attributes.",No sufficiently specific product need can be inferred from these generic expressions of enthusiasm.,high,high,high,False,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11]","The cluster also contains a few terse negative or ambivalent comments, but they do not form a clear actionable theme."
21,Emotionally Powerful Storytelling,positive_driver,Narrative & Emotion,"Reviews across multiple games emphasize intense emotional impact, especially crying and strong attachment to the story.",Players seek memorable narratives and music that create deep emotional resonance and lasting personal impact.,high,high,high,True,"[3, 4, 6, 7, 8, 10, 11, 12]","Most evidence is brief, hyperbolic praise centered on crying; two negative reviews show that emotional storytelling can fail when dialogue, characterization, or pacing feel forced."
22,Emotionally Devastating Stories,positive_driver,Narrative & Emotion,"Reviews praise games for delivering powerful emotional experiences, especially heartbreaking, bittersweet, or tear-inducing stories that leave a lasting impression.","Players want emotionally resonant narratives that create strong attachment and cathartic reactions, even when the experience is painful or difficult to revisit.",high,high,high,True,"[0, 1, 2, 5, 8, 10, 11]","Several reviews are brief or generic, and the Elden Ring comment reflects satisfying challenge rather than narrative emotion, so the theme does not explain every review in the cluster."
23,Emotionally Resonant Storytelling,positive_driver,Narrative & Emotion,"Many reviews describe being deeply moved, emotionally attached to characters, or strongly affected by the story across narrative-focused games. A minority found the storytelling lukewarm or boring.",Deliver character-driven stories with enough emotional depth and narrative impact to create strong personal resonance and attachment.,high,medium,high,True,"[0, 1, 2, 5, 8, 9]","Several reviews are generic praise or recommendations without specific detail, and the negative To the Moon and Impostor Factory reviews show that emotional impact is subjective and can be undermined by excessive text, repetition, or limited gameplay."
25,Narrative-First Indie RPGs,mixed_tradeoff,Narrative & Emotion,"Reviews consistently emphasize strong writing, characters, worldbuilding, and emotional impact, while several note that gameplay is simple, repetitive, linear, or occasionally tedious.","Deliver a compelling, emotionally resonant story experience while providing enough engaging gameplay and forward momentum to prevent narrative-focused play from feeling passive or repetitive.",high,high,high,True,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","The cluster includes both enthusiastic praise and strong dissatisfaction, especially regarding linearity, dialogue, and limited gameplay; narrative quality is highly subjective."
27,Character-Driven Stories and Soundtracks,positive_driver,Narrative & Emotion,"Players consistently praise the games’ emotionally engaging stories, memorable characters, atmosphere, and especially their soundtracks across multiple titles.","Deliver a cohesive emotional experience through well-written character relationships, meaningful storytelling, and music that reinforces atmosphere and remains memorable.",high,high,high,True,"[0, 1, 2, 4, 5, 7, 9, 11]","Most reviews are enthusiastic but brief and often mention several strengths together, so the relative importance of narrative, characters, and music cannot be separated precisely."
28,Strong Story-Driven Experience,positive_driver,Narrative & Emotion,"Across multiple games, reviewers praise compelling stories, plots, characters, emotional appeal, and gameplay that supports the narrative.","Players want memorable, emotionally engaging narratives with characters and gameplay that reinforce the story.",high,high,high,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","Most evidence consists of brief, generic praise, and one review disputes the story's memorability, so narrative quality is not uniformly experienced."
29,Broad RPG Enthusiasm,non_actionable,Genre Affinity,"Reviews broadly praise these games as excellent RPGs, often citing strong storytelling, classic RPG feel, or emotional impact, but most provide little specific detail.","Players seek highly engaging RPG experiences with compelling stories, emotional resonance, and familiar genre conventions.",medium,medium,high,False,"[0, 3, 7, 8, 1, 5, 6, 9, 10, 11]","The cluster spans multiple RPGs but is dominated by generic superlatives such as “best RPG” and “amazing game,” making it difficult to identify a specific product improvement or consistent feature driver."
30,"Story-First Experiences, Simple Combat",mixed_tradeoff,Narrative & Emotion,"Reviews consistently emphasize strong stories, characters, world-building, visuals, and emotional immersion, while combat is often simple or easy and can feel secondary or tedious.",Deliver a compelling narrative and emotional experience while ensuring combat remains sufficiently engaging and does not disrupt pacing.,high,high,high,True,"[0, 1, 2, 3, 4, 6, 9, 10, 13, 14]","Most reviews are positive, but several Ikenfell and Long Gone Days reviews indicate that excessive downtime, weak storytelling, or overly easy combat can undermine the story-first design."
31,"Strong Stories, Shallow Combat",mixed_tradeoff,Gameplay Depth,"Across several narrative-focused RPGs, reviewers value emotional stories, memorable characters, and distinctive presentation, but often find combat simple, repetitive, tedious, or insufficiently integrated with the narrative.","Pair compelling narrative and character development with combat that has meaningful depth, variety, and pacing rather than feeling mechanically bolted on.",high,high,high,True,"[0, 1, 2, 3, 5, 6, 7, 11, 12, 13, 14]","The signal is mixed: some reviewers strongly enjoy the combat systems, and Elden Ring introduces a different, more difficulty- and control-focused context."
